0,1,2,3,4,5,6,7,8
Memphis,13234.05,0.14,1477.38,3179.16,1,86.41,47,7
Little Rock,7781.82,0.08,867.05,2971.59,1,58.99,34,8
Columbia,3961.67,0.04,797.32,229.21,1,59.56,19,5
Birmingham (US),6692.58,0.07,1179.08,1226.67,1,74.39,55,32
Fort Worth,4681.62,0.05,1508.91,25.76,1,94.05,46,34
Charleston,7361.17,0.08,647.97,492.36,1,54.24,27,16
Tucson,23799.97,0.26,844.28,1.16,1,100,5,5
El Paso,14467.58,0.16,532.77,3.99,1,99.55,7,6
Baton Rouge,6438.7,0.07,765.81,878,1,69.42,25,3
Austin,11084.37,0.12,1660.73,183.4,1,70.49,44,26
Jacksonville,8871.53,0.1,1266.69,174.04,1,79.88,14,5
New Orleans,12510.83,0.14,951.3,192.72,1,80.84,18,7
Clearwater/Saint Petersburg,2853.86,0.03,1110.08,289.03,1,100,30,30
Tampa,2819.26,0.03,1010.92,501.85,1,100,3,3
Mcallen,4102,0.04,723.89,158.25,1,100,22,22
Madison,5268.07,0.06,588.66,5214.03,1,89.36,93,59
Buffalo,4111.52,0.04,865.98,2298.04,1,81.05,63,43
Grand Rapids,2258.97,0.02,710.22,2856.7,1,100,34,34
Albany,7454.61,0.08,819.81,1879.06,1,96.21,79,27
Providence,1665.12,0.02,561.65,123.23,1,94.04,24,21
Toledo (US),908.74,0.01,408.73,566.1,1,100,21,21
Des Moines,9020.15,0.1,931.65,5355.11,1,72.14,70,17
Omaha,11411.74,0.12,1277.58,775.16,1,60.06,108,7
Akron,1087.89,0.01,613.7,1285.04,1,100,32,32
Salt Lake City,27710.01,0.3,864.61,594.56,1,91.98,29,15
Pittsburgh,1928.85,0.02,1018.11,605.19,1,100,128,128
