,population,city,country,latitude,longitude
3570,114167,Orléans,France,47.902964,1.909251
3571,114127,Mtwara,Tanzania,-10.28,40.18
3572,114108,Jahrom,Iran,28.5,53.560556
3573,114087,Uruma,Japan,26.427622,127.829257
3574,114074,Bayawan,Philippines,9.366667,122.8
3575,114007,Ciudad Cuauhtémoc,Mexico,28.611882,-106.06077
3576,114000,Auchi,Nigeria,"7,083","6,287"
3577,113993,Toliara,Madagascar,-23.35,43.666667
3578,113972,Lansing,USA,42.7098,-84.5562
3579,113836,Navojoa,Mexico,29.297225,-110.330881
3580,113833,Arapongas,Brazil,-23.352501,-51.491943
3581,113806,Purulia,India,23.332078,86.365208
3582,113749,Patan,India,23.849325,72.126626
3583,113726,Shchelkovo,Russia,55.916667,38
3584,113658,Fargo,USA,46.8652,-96.829
3585,113600,Sanda,Japan,34.888449,135.22997
3586,113555,Cap-Haitien,Haiti,19.737036,-72.206768
3587,113442,Cambridge,United Kingdom,52.205337,0.121817
3588,113426,South Kheetan,Kuwait,29.3,47.966667
3589,113249,Durrës,Albania,41.316667,19.45
3590,113242,Downey,USA,33.9382,-118.1309
3591,113197,Tila al-Ali,Jordan,31.956578,35.945695
3592,113181,Uíge,Angola,-7.61,15.05
3593,113143,Bergamo,Italy,45.698264,9.67727
3594,113128,El-Hawamdeyya,Egypt,29.89496,31.261209
3595,113127,Salto,Brazil,-23.205043,-47.291726
3596,113114,Almalyk,Uzbekistan,40.85,69.6
3597,113082,Guaymas,Mexico,27.919767,-110.916514
3598,113012,Bagaha,India,24.525509,85.066205
3599,112921,Jaén,Spain,37.779594,-3.784906
3600,112921,Barcarena,Brazil,-1.675673,-48.635224
3601,112917,Poá,Brazil,-23.541731,-46.308645
3602,112815,Shashemennē,Ethiopia,7.2,38.6
3603,112778,Ciudad de San Juan,Argentina,-31.527273,-68.521408
3604,112705,Satu Mare,Romania,47.79,22.89
3605,112659,Kyzyl,Russia,51.716667,94.45
3606,112625,Pare-Pare,Indonesia,-4.016667,119.623611
3607,112550,Mudon,Myanmar,"16,26","97,72"
3608,112543,Saijō,Japan,33.91985,133.181148
3609,112402,Passos,Brazil,-20.736764,-46.604047
3610,112320,Mishima,Japan,35.118521,138.918473
3611,112318,Bento Gonçalves,Brazil,-29.139428,-51.532385
3612,112311,Achalpur,India,21.257584,77.508675
3613,112174,Costa Mesa,USA,33.6659,-117.9123
3614,112102,Artem (Primorskiy Krai),Russia,43.366667,132.2
3615,112096,Yacuiba,Bolivia,-22.015278,-63.677222
3616,112085,San Felipe,Venezuela,10.340556,-68.736944
3617,112085,Osmanabad,India,18.186066,76.041941
3618,112067,Wilmington,USA,34.2092,-77.8858
3619,112046,Minatitlán,Mexico,19.173773,-96.134224
3620,112032,Eunápolis,Brazil,-16.376225,-39.584211
