Variables,,Total land area (km2),Metropolitan land share of national value (%),Green area per million people (square meters per million person),Urban form,,Territorial organisation,,,
,,,,,Polycentricity,Concentration of population in the core (%),Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Ratio,Number,Percentage,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,
  MEX20: Torreón,,11553.57,0.59,52.53,1,89.07,6,3,0.44,224768
  MEX21: Saltillo,,5562.31,0.28,7.27,1,100,1,1,0.13,797444
  MEX22: Culiacán,,6238.98,0.32,616.65,1,100,1,1,0.11,910982
  MEX24: Durango,,9185.1,0.47,204.06,1,100,1,1,0.16,625895
  MEX28: Tampico,,2091.3,0.11,391.87,1,68.28,4,3,0.49,205421.25
  MEX29: San Luis Potosí,,5245.39,0.27,28.98,1,88.14,7,2,0.54,184126.43
  MEX31: Aguascalientes,,2308.08,0.12,203.16,1,82.49,4,1,0.38,263884.75
  MEX33: Benito Juárez,,2089.92,0.11,164.97,1,100,1,1,0.13,797657
  MEX34: León,,1744.18,0.09,113.15,1,89.19,2,1,0.11,887879
  MEX35: Mérida,,12501.47,0.64,928.85,1,69.9,52,2,3.66,27354.27
  MEX37: Guadalajara,,2478.44,0.13,109.05,1,82.24,7,4,0.14,700743.43
  MEX38: Irapuato,,843.86,0.04,203.87,1,100,1,1,0.17,572778
  MEX40: Querétaro,,2454.57,0.13,301.15,1,69.19,4,1,0.31,318450.75
  MEX42: Celaya,,1160.47,0.06,277.39,1,78.11,3,1,0.46,217976
  MEX46: Pachuca de Soto,,1594.31,0.08,213.04,1,43.02,10,1,1.55,64688
  MEX50: Morelia,,1935.06,0.1,188.08,1,84.47,4,1,0.43,231115.5
  MEX51: Mexico City,,5101.68,0.26,26.37,1,94.74,55,39,0.27,370986.53
  MEX52: Xalapa,,1313.03,0.07,448.98,1,62.11,11,1,1.39,71759.36
  MEX55: Toluca,,2190.89,0.11,197.12,1,72.21,15,5,0.69,144471.13
  MEX59: Veracruz,,1056.65,0.05,517.33,1,87.32,5,2,0.59,168962.6
  MEX60: Puebla,,1343.51,0.07,108.4,1,74.55,11,2,0.47,212956.27
  MEX61: Cuernavaca,,947.07,0.05,175.49,1,85.35,7,4,0.74,135423.29
  MEX70: Centro,,3209.37,0.16,575.07,1,72.74,4,1,0.42,240015.75
  MEX73: Oaxaca de Juárez,,1702.22,0.09,239.96,1,53.21,46,5,5.71,17502.22
  MEX74: Acapulco de Juárez,,1731.31,0.09,691.98,1,100,1,1,0.12,827942
  MEX75: Tuxtla Gutiérrez,,2167.43,0.11,1017.6,1,74.25,5,1,0.61,165255.2
NLD: The Netherlands,,33718.2,..,..,..,..,..,..,..,..
  NL002: Amsterdam,,2819.84,8.36,207.16,4,69.76,57,9,2.32,43029.11
  NL001: The Hague,,296.87,0.88,20.59,1,79.12,11,4,1.21,82445.18
  NL003: Rotterdam,,1480,4.39,70.68,1,58.43,36,5,2.39,41927.03
  NL004: Utrecht,,622.67,1.85,222.73,1,44.98,14,1,1.86,53901.07
  NL005: Eindhoven,,1199.68,3.56,827,2,44.85,19,2,2.71,36857.84
NOR: Norway,,304245.9,..,..,..,..,..,..,..,..
  NO001: Oslo,,7099.16,2.33,289.63,1,48.66,30,1,2.31,43331.83
POL: Poland,,312679,..,..,..,..,..,..,..,..
  PL001: Warsaw,,8611.73,2.75,1022.32,1,56.62,101,12,3.32,30078.12
  PL010: Katowice,,3920.33,1.25,337.07,1,56.16,60,8,2.32,43155.82
  PL002: Lódz,,1693.68,0.54,421.06,1,83.53,17,2,1.81,55268.71
  PL003: Kraków,,3749.06,1.2,723.17,1,55.23,44,1,3.23,30971.36
  PL004: Wroclaw,,2635.24,0.84,597.36,1,74.95,19,1,2.27,44105
  PL005: Poznan,,3077.07,0.98,360.17,1,57.59,26,1,2.74,36561.38
  PL006: Gdansk,,2615.68,0.84,671.47,1,63.31,24,2,2.17,46061.13
  PL009: Lublin,,3222.11,1.03,487.56,1,51.71,33,1,4.92,20345.76
PRT: Portugal,,92212,..,..,..,..,..,..,..,..
  PT001: Lisbon,,3988.31,4.33,63.58,2,83.71,235,157,8.14,12283.67
  PT002: Porto,,951.54,1.03,66.33,1,81.41,150,90,11.42,8758.86
SWE: Sweden,,407339.7,..,..,..,..,..,..,..,..
  SE001: Stockholm,,7106.87,1.74,114.66,3,74.38,28,12,1.39,72078.86
  SE002: Gothenburg,,3850.19,0.95,292.17,1,56.15,12,1,1.34,74878.42
  SE003: Malmö,,3468.54,0.85,842.97,2,58.76,14,2,2.07,48346.57
SVN: Slovenia,,20138,..,..,..,..,..,..,..,..
  SI001: Ljubljana,,3145.03,15.62,922.61,1,48.02,28,1,4.78,20923.21
SVK: Slovak Republic,,49036,..,..,..,..,..,..,..,..
  SK001: Bratislava,,2600.66,5.3,444.53,1,59.27,136,17,18.65,5361.45
GBR: United Kingdom,,242509.2,..,..,..,..,..,..,..,..
  UK001: London,,6920.87,2.85,35.16,6,80.17,47,40,0.38,263855.06
  UK002: Birmingham (UK),,1454.14,0.6,138.31,2,87.76,6,4,0.31,326179.67
  UK003: Leeds,,1726,0.71,172.56,1,91.77,3,2,0.25,399307.33
  UK004: Bradford,,443.63,0.18,142.37,1,95.51,3,1,0.52,192491.33
  UK005: Liverpool,,556.66,0.23,60.74,1,79.16,4,2,0.42,238545.25
  UK006: Manchester,,1435.01,0.59,134.97,1,89.1,10,6,0.52,193555.9
  UK007: Cardiff,,736.87,0.3,162.72,1,54.17,5,1,0.75,132972.2
  UK008: Sheffield,,1109.88,0.46,260.12,1,91.28,4,2,0.43,230032
  UK009: Bristol,,807.31,0.33,114.18,1,53.23,4,1,0.48,209155.25
  UK010: Newcastle,,2873.08,1.18,157.42,2,64.64,5,3,0.46,216545.8
  UK011: Leicester,,1099.2,0.45,298.01,1,72.08,4,2,0.58,173054.25
  UK017: Portsmouth,,428.6,0.18,88.83,2,89.54,3,2,0.5,198151.67
  UK023: Nottingham,,1110.74,0.46,259.9,1,75.82,5,2,0.58,172783.6
  UK097: Glasgow,,855.84,0.35,103.43,2,63.18,7,1,0.72,138157.29
  UK098: Edinburgh,,1279.59,0.53,204.42,1,67.71,5,1,0.65,152890.8
USA: United States,,9161923,..,..,..,..,..,..,..,..
  US106: Philadelphia,,4326.91,0.05,372.98,1,100,202,202,4.97,20129.03
  US107: Columbus,,11491.61,0.13,1616.79,1,79.64,205,42,10.4,9613.7
  US114: Denver,,21794.38,0.24,4.64,1,97.94,39,28,1.43,70059.62
