Al-Hasakeh,1392000,36.405515,40.796915
Maputo,1391499,-25.966667,32.583333
Port Harcourt,1380000,"4,786","7,003"
Idleb,1376000,35.933333,36.633333
Kawasaki,1373630,35.529667,139.703848
Stockholm,1372565,59.329323,18.068581
Wenling,1366800,28.3675,121.373611
Almaty,1365105,43.222015,76.851249
Zigong,1362062,29.35702,104.7610274
Fushun,1356987,41.85926445,124.511135099
San Diego,1355896,32.8153,-117.135
Mianyang,1355331,31.458932,104.750108
Patiala,1354686,30.34,76.38
Milan,1347298,45.465422,9.185924
Shantou,1346708,23.3652979,116.6948819
Heze,1346700,35.2477266,115.4464761
ULAANBAATAR,1345086,47.92,106.92
Palembang,1342258,-2.990934,104.756556
Gaziantep,1341054,37.06622,37.38332
Chifeng,1333526,42.2724253,118.9670743
Córdoba,1329604,-31.39893,-64.182129
Lubumbashi,1321609,-11.66,27.48
Juárez,1321004,31.738498,-106.472103
Guarulhos,1312197,-23.464579,-46.531664
Kénitra,1310000,34.25,-6.583333
Meerut,1309023,28.984462,77.706414
Wuhu,1307042,31.3425803,118.3536912
MONTEVIDEO,1305082,-34.901113,-56.164531
Tijuana,1300983,32.522984,-117.112586
Laiwu,1298500,36.2140516,117.6698833
Mekka,1294168,21.416667,39.816667
Haicheng,1293877,40.8518336,122.7433343
South Tangerang,1290322,-6.288889,106.718056
Bago,278622,"17,33","96,50"
Yinchuan,1290170,38.4829194,106.2116014
Prague,1285995,50.075538,14.4378
Greater Adelaide,1278432,-34.928621,138.599959
Rugao,1267066,32.3926766,120.563809
Nizhny Novgorod,1266231,56.296504,43.936059
Dallas,1257676,32.7757,-96.7967
Peshawar,1253687,34.014975,71.58049
Neijiang,1251095,29.5892089,105.0581721
Adelaide,1250795,-34.928621,138.599959
Zhangjiagang,1248414,31.8664895,120.5426833
Marrakech,1248000,31.63,-8.008889
Kalyan-Dombivali,1246381,19.217172,73.089276
Kalyan-Dombivali,1246381,19.217172,73.089276
